,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
17,18,FS-1418881,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,111,35,BHA3,FREDS,CA-ENF-18044,FREDS,CA3878712031820041013,FREDS,,2004,2453291.5,287,1618,2.0,Equipment Use,2453295.5,291.0,1800,7700.0,G,38.78,-120.26,5.0,USFS,CA,17,017,El Dorado
18,19,FS-1418884,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,115,22,,HARTLESS,,,,,,2004,2453329.5,325,2000,5.0,Debris Burning,2453330.5,326.0,1630,0.1,A,38.945,-120.41166667,13.0,STATE OR PRIVATE,CA,17,017,El Dorado
19,20,FS-1418887,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,8,NM-LNF-008,AVPA,SPRING,,,,,,2004,2453160.5,156,1030,1.0,Lightning,2453160.5,156.0,1400,0.1,A,33.44083333,-105.72055556,5.0,USFS,NM,27,027,Lincoln
20,21,FS-1418888,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,12,NM-LNF-012,A49Y,ANGRY,,,,,,2004,2453175.5,171,1530,1.0,Lightning,2453175.5,171.0,1940,0.1,A,33.30722222,-105.62861111,13.0,STATE OR PRIVATE,NM,27,027,Lincoln
21,22,FS-1418893,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,13,NM-LNF-013,A5DG,DARK,,,,,,2004,2453177.5,173,1440,1.0,Lightning,2453178.5,174.0,1100,0.1,A,33.44444444,-105.76805556,5.0,USFS,NM,27,027,Lincoln
22,23,FS-1418894,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,16,NM-LNF-016,AVP4,CHURCH #2,,,,,,2004,2453181.5,177,1910,1.0,Lightning,2453182.5,178.0,1300,0.1,A,33.55944444,-105.76611111,5.0,USFS,NM,27,027,Lincoln
23,24,FS-1418895,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,19,NM-LNF-019,AVP4,PINE CONE,,,,,,2004,2453187.5,183,1250,1.0,Lightning,2453188.5,184.0,1110,0.25,A,33.30805556,-105.52611111,5.0,USFS,NM,27,027,Lincoln
24,25,FS-1418896,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,20,NM-LNF-020,AVP4,EAGLE,,,,,,2004,2453187.5,183,1712,1.0,Lightning,2453192.5,188.0,1450,2.5,B,33.54527778,-105.22944444,5.0,USFS,NM,27,027,Lincoln
25,26,FS-1418897,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,22,NM-LNF-022,AVP4,BACHELOR,,,,,,2004,2453206.5,202,1405,1.0,Lightning,2453206.5,202.0,1600,10.0,C,33.31583333,-105.51222222,5.0,USFS,NM,27,027,Lincoln
26,27,FS-1418898,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,31,NM-LNF-031,A0SY,SONTERRA,,,,,,2004,2453082.5,78,1145,9.0,Miscellaneous,2453082.5,78.0,2030,8.2,B,33.44444444,-105.63111111,14.0,MISSING/NOT SPECIFIED,NM,27,027,Lincoln
27,28,FS-1418903,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,26,NM-LNF-013,AVP4,PEPPER,,,,,,2004,2453222.5,218,0945,1.0,Lightning,2453222.5,218.0,1815,0.1,A,33.36805556,-105.50722222,5.0,USFS,NM,27,027,Lincoln
28,29,FS-1418904,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,33,NM-LNF-033,A0TF,120A,,,,,,2004,2453082.5,78,1655,5.0,Debris Burning,2453082.5,78.0,2130,0.25,A,33.38527778,-105.63861111,5.0,USFS,NM,27,027,Lincoln
29,30,FS-1418905,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,36,NM-LNF-036,A3B1,MUSKETBURN,,,,,,2004,2453136.5,132,1515,5.0,Debris Burning,2453136.5,132.0,1552,0.25,A,33.38277778,-105.70027778,5.0,USFS,NM,27,027,Lincoln
30,31,FS-1418906,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,37,NM-LNF-037,A49X,OREGON,,,,,,2004,2453175.5,171,1645,1.0,Lightning,2453175.5,171.0,2020,0.1,A,33.37972222,-105.68027778,5.0,USFS,NM,27,027,Lincoln
31,32,FS-1418907,FED,FS-FIRESTAT,FS,USORDEF,Deschutes National Forest,0601,Deschutes National Forest,1,1-001,BJ9H,0028,,,,,,2005,2453406.5,36,0943,4.0,Campfire,2453407.5,37.0,1226,0.1,A,43.99555556,-121.41416667,13.0,STATE OR PRIVATE,OR,17,017,Deschutes
32,33,FS-1418909,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,15,NM-LNF-015,AVP4,CHURCH #1,,,,,,2004,2453181.5,177,1927,1.0,Lightning,2453182.5,178.0,1749,0.1,A,33.49666667,-105.73972222,5.0,USFS,NM,27,027,Lincoln
33,34,FS-1418910,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,38,NM-LNF-038,AVP4,DRY MILLS,,,,,,2004,2453247.5,243,1030,1.0,Lightning,2453247.5,243.0,1501,0.1,A,33.41777778,-105.7075,5.0,USFS,NM,27,027,Lincoln
34,35,FS-1418911,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,0308,Lincoln National Forest,41,NM-LNF-041,BEY3,AGUA FRIA,,,,,,2004,2453289.5,285,1015,1.0,Lightning,2453289.5,285.0,1300,0.1,A,33.25527778,-105.62611111,5.0,USFS,NM,27,027,Lincoln
35,36,FS-1418916,FED,FS-FIRESTAT,FS,USORDEF,Deschutes National Forest,0601,Deschutes National Forest,3,1-003,BK2W,0044,,,,,,2005,2453434.5,64,1042,4.0,Campfire,2453434.5,64.0,1107,0.1,A,44.04333333,-121.38611111,5.0,USFS,OR,17,017,Deschutes
36,37,FS-1418917,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,0811,National Forests in North Carolina,8,001,BK8V,TANNASSEE GAP I,,,,,,2005,2453440.5,70,1500,2.0,Equipment Use,2453440.5,70.0,1800,0.6,B,35.22833333,-82.88444444,5.0,USFS,NC,21,021,Buncombe
37,38,FS-1418918,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,0811,National Forests in North Carolina,2,002,BJ66,HOWARD GAP,,,,,,2005,2453397.5,27,2200,7.0,Arson,2453398.5,28.0,0300,50.3,C,35.00027778,-83.35111111,5.0,USFS,NC,113,113,Macon
38,39,FS-1418919,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,0811,National Forests in North Carolina,3,1,BJ9U,HOT SPRINGS,,,,,,2005,2453407.5,37,1900,7.0,Arson,2453407.5,37.0,2000,0.1,A,35.93166667,-81.71666667,5.0,USFS,NC,27,027,Caldwell
39,40,FS-1418920,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,0811,National Forests in North Carolina,4,2,BKC8,AUSTIN CREEK,NC-NCS-050201401,Austin Creek,,,,2005,2453413.5,43,1520,5.0,Debris Burning,2453414.5,44.0,0330,125.0,D,36.00166667,-81.59,14.0,MISSING/NOT SPECIFIED,NC,27,027,Caldwell
40,41,FS-1418921,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,0811,National Forests in North Carolina,29,029,BN3Z,HEADQUARTERS,,,,,,2005,2453476.5,106,1625,5.0,Debris Burning,2453476.5,106.0,2200,25.0,C,35.985,-81.85166667,14.0,MISSING/NOT SPECIFIED,NC,11,011,Avery
41,42,FS-1418922,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,0811,National Forests in North Carolina,44,4,BQ5X,BLUFF,,,,,,2005,2453499.5,129,1343,5.0,Debris Burning,2453499.5,129.0,1530,3.0,B,35.9,-81.68333333,14.0,MISSING/NOT SPECIFIED,NC,27,027,Caldwell
42,43,FS-1418923,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,0811,National Forests in North Carolina,46,5,BQ54,MOUNTAIN,,,,,,2005,2453499.5,129,1900,5.0,Debris Burning,2453499.5,129.0,2330,10.0,C,36.035,-81.585,14.0,MISSING/NOT SPECIFIED,NC,27,027,Caldwell
43,44,FS-1418924,FED,FS-FIRESTAT,FS,USORDEF,Deschutes National Forest,0601,Deschutes National Forest,6,1-004,BMP6,0088,,,,,,2005,2453465.5,95,1205,4.0,Campfire,2453465.5,95.0,1210,0.1,A,43.95555556,-121.35222222,5.0,USFS,OR,17,017,Deschutes
44,45,FS-1418933,FED,FS-FIRESTAT,FS,USWYMBF,Medicine Bow National Forest,0206,Medicine Bow-Routt National Forest,51,,BTW2,JOHN,,,,,,2005,2453527.5,157,1530,1.0,Lightning,2453527.5,157.0,2030,0.25,A,42.35472222,-105.50555556,13.0,STATE OR PRIVATE,WY,9,009,Converse
45,46,FS-1418934,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,0811,National Forests in North Carolina,10,01,BK9X,WATERLOO,,,,,,2005,2453440.5,70,1330,9.0,Miscellaneous,2453440.5,70.0,1930,10.0,C,35.00138889,-83.38416667,14.0,MISSING/NOT SPECIFIED,NC,113,113,Macon
46,47,FS-1418935,FED,FS-FIRESTAT,FS,USORUMF,Umatilla National Forest,0614,Umatilla National Forest,1,019,BE07,EARLY,,,,,,2005,2453440.5,70,1000,9.0,Miscellaneous,2453440.5,70.0,1401,5.0,B,44.91111111,-119.69611111,5.0,USFS,OR,69,069,Wheeler
47,48,FS-1418940,FED,FS-FIRESTAT,FS,USCOPSF,Pike and San Isabel National Forest,0212,Pike San Isabel National Forest,22,001,BEX1,HATCH,,,,,,2005,2453535.5,165,1300,1.0,Lightning,2453535.5,165.0,1530,0.5,B,39.29222222,-105.18305556,5.0,USFS,CO,,,
48,49,FS-1418943,FED,FS-FIRESTAT,FS,USORDEF,Deschutes National Forest,0601,Deschutes National Forest,2,1-002,BKG2,0032,,,,,,2005,2453417.5,47,1535,4.0,Campfire,2453417.5,47.0,1600,0.1,A,43.72527778,-121.57416667,5.0,USFS,OR,17,017,Deschutes
49,50,FS-1418944,FED,FS-FIRESTAT,FS,USOROCF,Ochoco National Forest,0607,Ochoco National Forest,1,5-001,BK1B,0041,,,,,,2005,2453431.5,61,1640,5.0,Debris Burning,2453431.5,61.0,1745,0.1,A,44.41,-121.31555556,5.0,USFS,OR,17,017,Deschutes
50,51,FS-1418945,FED,FS-FIRESTAT,FS,USORFWF,Fremont-Winema National Forest,0602,Fremont-Winema National Forest,3,402,BE0X,HALFWAY  108,,,,,,2005,2453518.5,148,1441,1.0,Lightning,2453518.5,148.0,1911,0.1,A,42.13388889,-121.23416667,5.0,USFS,OR,37,037,Lake
51,52,FS-1418953,FED,FS-FIRESTAT,FS,USORFWF,Fremont-Winema National Forest,0602,Fremont-Winema National Forest,1,101,BR37,PARADISE  104,,,,,,2005,2453507.5,137,1400,9.0,Miscellaneous,2453507.5,137.0,1500,0.1,A,42.31138889,-120.90277778,5.0,USFS,OR,37,037,Lake
52,53,FS-1418954,FED,FS-FIRESTAT,FS,USORFWF,Fremont-Winema National Forest,0602,Fremont-Winema National Forest,2,401,B50B,STUMP 106,,,,,,2005,2453517.5,147,1539,7.0,Arson,2453517.5,147.0,1655,0.1,A,42.95083333,-120.83611111,5.0,USFS,OR,37,037,Lake
53,54,FS-1418965,FED,FS-FIRESTAT,FS,USWYBHF,Bighorn National Forest,0202,Bighorn National Forest,1,WY-BHF-014,BM2B,CRYSTAL SPRINGS,,,,,,2005,2453467.5,97,1615,9.0,Miscellaneous,2453467.5,97.0,1700,0.1,A,44.81611111,-107.33111111,5.0,USFS,WY,33,033,Sheridan
54,55,FS-1418966,FED,FS-FIRESTAT,FS,USORUMF,Umatilla National Forest,0614,Umatilla National Forest,3,401-046,BE07,UPPER JIM,,,,,,2005,2453540.5,170,1430,1.0,Lightning,2453541.5,171.0,1400,0.3,B,46.22083333,-117.785,5.0,USFS,WA,27,027,Grays Harbor
55,56,FS-1418969,FED,FS-FIRESTAT,FS,USORFWF,Fremont-Winema National Forest,0602,Fremont-Winema National Forest,8,103,BE0X,COTTONWOOD  128,,,,,,2005,2453546.5,176,1800,1.0,Lightning,2453547.5,177.0,1230,0.1,A,42.38694444,-120.80861111,5.0,USFS,OR,37,037,Lake
56,57,FS-1418970,FED,FS-FIRESTAT,FS,USORFWF,Fremont-Winema National Forest,0602,Fremont-Winema National Forest,6,102,BE0X,OBENCHAIN  125,,,,,,2005,2453546.5,176,1300,1.0,Lightning,2453546.5,176.0,1745,2.0,B,42.51472222,-121.12,5.0,USFS,OR,37,037,Lake
57,58,FS-1418971,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,4,002,BEW1,IOWA FLATS,,,,,,2005,2453437.5,67,1334,5.0,Debris Burning,2453437.5,67.0,1400,0.5,B,48.92194444,-115.0925,13.0,STATE OR PRIVATE,MT,53,053,Lincoln
58,59,FS-1418973,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,3,01,BK5T,GATEWAY,,,,,,2005,2453435.5,65,1510,4.0,Campfire,2453435.5,65.0,1900,9.0,B,48.99833333,-115.16555556,5.0,USFS,MT,53,053,Lincoln
59,60,FS-1418974,FED,FS-FIRESTAT,FS,USORFWF,Fremont-Winema National Forest,0602,Fremont-Winema National Forest,4,403,BE0X,JUNIOR  122,,,,,,2005,2453545.5,175,1845,1.0,Lightning,2453545.5,175.0,2230,0.1,A,42.92138889,-121.03083333,5.0,USFS,OR,37,037,Lake
60,61,FS-1418975,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,28,001,BUS5,HAINES POINT,,,,,,2005,2453537.5,167,1234,4.0,Campfire,2453538.5,168.0,1321,5.0,B,47.66555556,-115.56916667,5.0,USFS,MT,89,089,Sanders
61,62,FS-1418976,FED,FS-FIRESTAT,FS,USCOPSF,Pike and San Isabel National Forest,0212,Pike San Isabel National Forest,14,001,BEX1,TROUT CREEK II,,,,,,2005,2453520.5,150,1100,1.0,Lightning,2453521.5,151.0,1218,0.2,A,38.91333333,-105.98361111,5.0,USFS,CO,,,
62,63,FS-1418978,FED,FS-FIRESTAT,FS,USCOPSF,Pike and San Isabel National Forest,0212,Pike San Isabel National Forest,29,003,BU9J,MT ELBERT,,,,,,2005,2453542.5,172,1241,4.0,Campfire,2453542.5,172.0,1506,0.1,A,39.10027778,-106.3675,5.0,USFS,CO,,,
63,64,FS-1418993,FED,FS-FIRESTAT,FS,USUTUWF,Uinta/Wasatch-Cache National Forest,0418,Uinta National Forest,5,154,BEZ9,RED HOLLOW # 1,,,,,,2005,2453549.5,179,1654,1.0,Lightning,2453549.5,179.0,1757,0.1,A,40.08888889,-111.37833333,5.0,USFS,UT,49,049,Utah
64,65,FS-1418994,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,15,003,BP98,LLAMA,,,,,,2005,2453487.5,117,1232,5.0,Debris Burning,2453487.5,117.0,1800,2.0,B,48.89944444,-115.10694444,13.0,STATE OR PRIVATE,MT,53,053,Lincoln
65,66,FS-1418995,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,16,004,BQC0,HWY 37,,,,,,2005,2453484.5,114,1930,9.0,Miscellaneous,2453484.5,114.0,1945,0.1,A,48.90694444,-115.07666667,13.0,STATE OR PRIVATE,MT,53,053,Lincoln
66,67,FS-1419001,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,40,014,BYE1,RACE TRACK 4,,,,,,2005,2453555.5,185,0800,4.0,Campfire,2453555.5,185.0,0815,0.1,A,48.40777778,-115.55833333,13.0,STATE OR PRIVATE,MT,53,053,Lincoln
67,68,FS-1419017,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,43,015,BYE5,RACE TRACK 5,,,,,,2005,2453556.5,186,0715,4.0,Campfire,2453556.5,186.0,0745,0.1,A,48.40777778,-115.55777778,13.0,STATE OR PRIVATE,MT,53,053,Lincoln
68,69,FS-1419031,FED,FS-FIRESTAT,FS,USORFWF,Fremont-Winema National Forest,0602,Fremont-Winema National Forest,7,201,BE0X,THOMAS CREEK  126,,,,,,2005,2453546.5,176,1645,1.0,Lightning,2453546.5,176.0,1900,0.1,A,42.30277778,-120.54361111,5.0,USFS,OR,37,037,Lake
69,70,FS-1419033,FED,FS-FIRESTAT,FS,USORFWF,Fremont-Winema National Forest,0602,Fremont-Winema National Forest,9,202,BE0X,DOG  129,,,,,,2005,2453547.5,177,1540,1.0,Lightning,2453547.5,177.0,2100,0.5,B,42.13694444,-120.70166667,5.0,USFS,OR,37,037,Lake
70,71,FS-1419039,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,18,005,BQW1,OLSEN HILL,,,,,,2005,2453492.5,122,2000,5.0,Debris Burning,2453492.5,122.0,2200,17.0,C,48.96666667,-115.20666667,13.0,STATE OR PRIVATE,MT,53,053,Lincoln
71,72,FS-1419041,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,21,006,BS6S,SHOOTING RANGE,,,,,,2005,2453519.5,149,2000,4.0,Campfire,2453519.5,149.0,2100,0.1,A,48.96444444,-115.18583333,5.0,USFS,MT,53,053,Lincoln
72,74,FS-1419045,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,33,008,BXR5,WATER TANK,,,,,,2005,2453552.5,182,2030,9.0,Miscellaneous,2453552.5,182.0,2300,3.0,B,48.89444444,-115.16527778,13.0,STATE OR PRIVATE,MT,53,053,Lincoln
73,75,FS-1419047,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,44,009,BYS6,BANKS,,,,,,2005,2453556.5,186,1616,5.0,Debris Burning,2453556.5,186.0,2115,0.25,A,48.81694444,-115.11138889,13.0,STATE OR PRIVATE,MT,53,053,Lincoln
74,76,FS-1419050,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,45,010,BY03,AIRPORT RD,,,,,,2005,2453554.5,184,1745,9.0,Miscellaneous,2453554.5,184.0,1815,0.1,A,48.9625,-115.08555556,13.0,STATE OR PRIVATE,MT,53,053,Lincoln
75,77,FS-1419053,FED,FS-FIRESTAT,FS,USAZKNF,Kaibab National Forest,0307,Kaibab National Forest,1,001,BEY2,BENHAM,,,,,,2005,2453506.5,136,1713,4.0,Campfire,2453506.5,136.0,1949,0.5,B,35.23638889,-112.21638889,5.0,USFS,AZ,5,005,Coconino
76,78,FS-1419054,FED,FS-FIRESTAT,FS,USCASRF,Six Rivers National Forest,0510,Six Rivers National Forest,9,53-03,BWP8,LINTO,,,,,,2005,2453548.5,178,1007,5.0,Debris Burning,2453548.5,178.0,1130,0.1,A,41.03722222,-123.53305556,5.0,USFS,CA,,,
77,79,FS-1419057,FED,FS-FIRESTAT,FS,USWYBHF,Bighorn National Forest,0202,Bighorn National Forest,2,WY-BHF-020,BNR0,HUNTER MESA,,,,,,2005,2453474.5,104,1050,9.0,Miscellaneous,2453474.5,104.0,1300,0.25,A,44.33555556,-106.95194444,5.0,USFS,WY,19,019,Johnson
78,80,FS-1419058,FED,FS-FIRESTAT,FS,USORUMF,Umatilla National Forest,0614,Umatilla National Forest,2,601-045,BE07,SMITH RIDGE 1,,,,,,2005,2453539.5,169,1412,1.0,Lightning,2453540.5,170.0,1848,0.1,A,45.55444444,-118.10194444,5.0,USFS,OR,61,061,Union
79,81,FS-1419060,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,19,003,BRR9,BEARING,,,,,,2005,2453503.5,133,1300,2.0,Equipment Use,2453503.5,133.0,1420,0.1,A,48.28222222,-115.51055556,13.0,STATE OR PRIVATE,MT,53,053,Lincoln
80,82,FS-1419061,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,50,019,BZ0T,PIPE FLATS 2,,,,,,2005,2453561.5,191,0915,4.0,Campfire,2453561.5,191.0,0940,0.1,A,48.41666667,-115.54611111,5.0,USFS,MT,53,053,Lincoln
